index,binum,len1,len2,len3,len4,len5
1,1,6,2,9,4,11
10,1010,24,29,111,45,49
11,1011,0,0,0,1,0
14,1110,0,0,4,1,1
15,1111,0,0,1,0,0
16,10000,3374,3597,1324,351,260
17,10001,102,76,15,2,5
26,11010,440,408,153,45,22
27,11011,7,4,0,1,0
30,11110,12,10,7,1,0
31,11111,0,1,0,0,0
32,100000,23,30,44,45,36
33,100001,2,3,0,1,0
42,101010,147,154,462,278,204
43,101011,6,4,3,3,0
46,101110,5,3,11,9,7
47,101111,0,1,0,0,0
48,110000,216,202,60,27,13
49,110001,13,3,0,0,0
58,111010,1736,1762,681,213,181
59,111011,43,35,5,3,0
62,111110,84,77,18,9,2
63,111111,10,4,0,1,0
128,10000000,374,397,3612,3050,2263
129,10000001,2,4,78,95,65
138,10001010,9,10,464,256,105
139,10001011,0,0,1,3,0
142,10001110,1,0,9,4,4
144,10010000,46462,46930,22426,5494,2484
145,10010001,1276,812,240,73,43
154,10011010,5433,5985,2696,571,259
155,10011011,118,96,21,7,1
158,10011110,113,111,44,19,5
159,10011111,10,11,4,0,1
160,10100000,23,27,371,271,195
161,10100001,1,0,11,16,11
170,10101010,65,134,3082,1445,711
171,10101011,4,3,18,11,6
174,10101110,2,5,113,36,12
175,10101111,0,0,4,1,0
176,10110000,4958,4541,1750,402,193
177,10110001,180,166,29,7,4
186,10111010,33926,35304,16205,3601,1608
187,10111011,662,498,118,20,15
190,10111110,1499,1532,621,108,48
191,10111111,125,119,32,3,0
256,100000000,16,15,61,53,47
257,100000001,1,0,2,6,2
266,100001010,2,2,9,4,1
272,100010000,277,267,116,47,43
273,100010001,25,22,3,1,0
282,100011010,36,29,8,4,1
288,100100000,10,12,29,29,15
289,100100001,2,1,7,2,1
298,100101010,13,18,52,41,29
299,100101011,3,1,6,0,5
302,100101110,0,1,4,5,3
303,100101111,0,1,4,0,0
304,100110000,156,169,54,14,12
305,100110001,50,31,10,4,2
314,100111010,236,251,112,48,26
315,100111011,39,41,10,4,1
318,100111110,23,27,8,3,3
319,100111111,4,9,2,0,0
384,110000000,107,116,543,531,409
385,110000001,1,1,20,40,33
394,110001010,1,1,42,27,11
398,110001110,1,0,0,0,0
400,110010000,6672,7007,3547,911,408
401,110010001,473,354,107,43,21
410,110011010,631,712,315,80,31
411,110011011,28,18,7,1,0
414,110011110,11,13,8,2,2
415,110011111,0,3,0,0,0
416,110100000,17,24,243,200,131
417,110100001,1,8,47,46,38
426,110101010,13,23,554,269,142
427,110101011,2,2,31,14,6
430,110101110,0,4,38,18,4
431,110101111,1,0,7,2,0
432,110110000,3400,3689,1781,380,199
433,110110001,1029,733,195,49,19
442,110111010,6653,7151,3631,818,368
443,110111011,844,697,174,40,8
446,110111110,627,760,287,63,30
447,110111111,224,180,19,10,0
512,1000000000,1,0,0,0,2
522,1000001010,0,0,0,1,0
544,1000100000,0,0,0,0,1
554,1000101010,1,0,0,0,1
558,1000101110,0,0,1,0,0
560,1000110000,2,0,0,0,0
571,1000111011,0,1,0,0,0
688,1010110000,0,1,0,0,0
699,1010111011,1,0,0,0,0
768,1100000000,0,1,0,2,1
